,Belief In Earning Opportunity Equality,Belief In Pay Equality,Education Helps Women,Role Models Help Women,Family Planning Helps Women,Maternity Pay And Childcare Helps Women,Minimum Wage Help Women,Access To Banking Helps Women,Womens Groups And Charities Helps Women,What Helps Women?,Fear Of Violence Is A Barrier,Laws Against Women Working Are A Barrier,Family Responsibilities Are A Barrier,Lack Of Experience Or Skills Is A Barrier,Traditional Views Of Women Are A Barrier,Lack Of ICT Access Is A Barrier,What Are Barriers To Women?,Strength Of Belief That Government Is Helping Women,What Helped You The Most?,Gender,Education,Age
1325,No,No,No,No,Yes,No,No,Yes,No,,No,No,Yes,No,Yes,No,,2,"1. A good education
2. Advantage: I come from an educated family and my parents have supported me in achieving my goals in education and work
3. Laws that ensure a minimum wage, and push towards equal pay for the same work for women and men.",Female,Beyond Secondary School,27
1326,No,No,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,Yes,No,,3,Supportive family.,Female,Beyond Secondary School,32
1327,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,1,GOOD EDUCATION,Male,Beyond Secondary School,43
1328,No,No,Yes,No,Yes,No,No,No,No,,No,No,No,No,Yes,No,Lack of self-confidence and marketable skills,1,EDUCATION AND TRAINING,Male,Beyond Secondary School,59
1329,No,No,Yes,No,No,No,No,No,No,better laws conserning equal wages,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,23
1330,No,No,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,Yes,No,,4,,Female,Beyond Secondary School,21
1331,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,Education,Female,Beyond Secondary School,42
1332,Yes,No,Yes,No,Yes,No,No,No,No,,Yes,Yes,No,No,No,No,,4,Good education and equal chances for women,Female,Finished Secondary School,16
1333,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,3,Education,Female,Finished Secondary School,45
1334,No,No,No,Yes,No,No,No,No,No,Less gender bias,No,No,Yes,No,Yes,No,,1,Education and self-confidence.,Male,Beyond Secondary School,42
1335,No,Yes,No,No,No,No,No,No,No,This challenge could be handled by gender mainstreaming in appropriate government policies and programmes,Yes,No,No,No,Yes,No,,2,"The sound educational background I went through shouldered by my parents, then the support of my husband afterwards in my career pursuits.",Female,Beyond Secondary School,40
1336,No,No,No,No,No,Yes,Yes,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,28
1337,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,"good education, maternity leave and childcare",Female,Beyond Secondary School,69
1338,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,Yes,No,No,Yes,No,,3,,Female,Beyond Secondary School,36
1339,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,,Male,Beyond Secondary School,28
1340,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,3,Having an education and being very proactive.  I grew up with the thought that I could do anything all I had to do was educate myself and go out and get it.,Female,Beyond Secondary School,60
1341,No,No,No,No,Yes,No,No,No,No,,No,No,No,No,Yes,No,,1,,Female,Beyond Secondary School,28
1342,No,No,Yes,No,No,No,No,No,No,A comprehensive women leadership development program,No,No,Yes,Yes,No,No,,2,"Education 
Mentors and coaches (mostly men)
Self confidence",Female,Beyond Secondary School,41
1343,No,No,No,No,No,No,No,No,No,ALL OF THE ABOVE,No,No,No,No,No,No,ALL OF THE ABOVE,3,Having the trust and/or attention of men in higher positions. Making myself indispensable to the men in the company I work for. This is not an exxageration.,Female,Beyond Secondary School,27
1344,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,"What has helped me most to get a good job is myself. I - a woman have to deceide what i want to do, what i need to prepare myself and pursui it overcoming all the traditional idea of society and other view. Every woman have to try the best and deceide what they want to be looked at instead of hearing the advise of others.",Female,Beyond Secondary School,24
1345,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,Personal stubbornness and strong will to get a good education and build career. Many women don't have that innate ability to resist. They need be constantly inspired.,Other,Beyond Secondary School,39
1346,No,No,No,No,No,No,No,No,No,gender mainstreaming in organizations,No,No,No,No,Yes,No,patriarcal society,3,,Female,Beyond Secondary School,44
1347,No,Yes,No,No,No,No,No,No,No,Gender mainstreaming and appropriate government policies and programmes.,Yes,No,No,No,Yes,No,,2,"The sound educational background shouldered by my parents, then the support and encouragement by them and my husband in my career pursuits.",Female,Beyond Secondary School,40
1348,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,No,No,It depends on the field but many male dominated arenas are boys' club where women can only get to a certain level,3,My personal network. And it's not a job in my field. I'm trying to break out my own path in that arena.,Female,Beyond Secondary School,26
1349,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,Yes,No,Yes,No,No,,2,,Male,Beyond Secondary School,36
1350,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,3,,Female,Finished Secondary School,61
1351,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,4,"Education, sociability and multi-culturality. Willingness to change and adapt. But as a man and first generation immigrant, I earn less than women who perform the same tasks as I do. But my own individual situation does not render the fight for gender equity moot or irrelevant. The situation may be worse for women with my background. Many variables factor in that complicate the state of women around the world. These factors must be tackled synergistically.",Male,Beyond Secondary School,43
1352,No,No,No,No,No,No,No,No,No,"No one solution - a combination of all are need, its not a simple problem therefore you cannot simplify the solution.",No,No,Yes,No,Yes,No,,4,"A supportive family environment that did not limit me or what I could do, an education that gave me skills and very importantly confidence , and support of other women/ role models.",Female,Beyond Secondary School,36
1353,No,No,Yes,No,No,No,No,Yes,No,,No,Yes,No,No,Yes,No,,3,Excellent education and no family or government barriers to getting a job,Female,Finished Secondary School,64
1354,Yes,Yes,Yes,No,No,No,No,Yes,No,,Yes,Yes,No,No,No,No,,5,Good Education and experience back ground and loyal with the department further hard working,Male,Beyond Secondary School,47
1355,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,4,Interacting with a lot of people. Listening to professionals in respective career fields.,Male,Beyond Secondary School,23
1356,No,No,Yes,No,No,No,No,No,No,More positions (for women) in decision making bodies,No,No,Yes,Yes,No,No,,2,"A good education which enabled me to get a job and ultimately to acquire the skills and experience which have enabled me to advance in my career and get even better jobs and earn more money. Availability of family planning services, maternity pay and childcare also contributed.",Female,Beyond Secondary School,52
1357,No,No,Yes,No,No,No,No,No,Yes,,No,No,Yes,No,Yes,No,,3,a solid foundation in education; family support to work in a field that required travelling and taking on more responsibilities at work.,Female,Beyond Secondary School,47
1358,Yes,No,No,No,No,No,No,No,No,Same rights and obligations to all people equally .,No,No,No,No,No,No,"If the treatment is the same for all people alike, both in rights and obligations , there should be no barrier .",3,,Male,Finished Secondary School,51
1359,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,4,Education and supportive societal environment,Female,Beyond Secondary School,56
1360,No,No,No,Yes,No,No,Yes,No,No,,No,No,Yes,No,Yes,No,,4,"Aucun des deux, pour ma part, mais je suis assez d'accord sur ""créer une entreprise"". Que l'on me fasse confiance et que l'on me donne l'opportunité de faire mes preuves.",Female,Beyond Secondary School,26
1361,Yes,Yes,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,4,Good education and handwork.,Female,Beyond Secondary School,27
1362,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,my studies,Female,Beyond Secondary School,49
1363,No,No,Yes,No,No,No,Yes,No,No,,Yes,No,No,No,Yes,No,,3,"What has helped me is the good education that I have,  a friendly and supportive society and being free from gender related violence",Male,Beyond Secondary School,28
1364,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,education,Female,Beyond Secondary School,38
1365,No,No,Yes,No,Yes,No,No,No,No,,No,No,No,Yes,Yes,No,,3,"Supportive family
Good education
Conviction and doggedness",Female,Beyond Secondary School,59
1366,No,No,No,Yes,No,No,No,Yes,No,,No,Yes,No,No,Yes,No,,2,My drive and ambition turned me into an entrepreneur but it is 3x as hard for a woman. No one is hated more than a female business owner (threatened by men and envy of women)...,Female,Beyond Secondary School,41
1367,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,1,My family's support!,Female,Beyond Secondary School,28
1368,No,No,Yes,Yes,No,No,No,No,No,,Yes,No,Yes,No,No,No,,2,Good education and the support of my parents to face the difficulties,Female,Beyond Secondary School,33
1369,No,No,Yes,No,No,No,No,No,No,End of patriarchal power and structures,No,No,No,No,Yes,No,Male dominated company boards and structures,3,Being brought up in a household with non-traditional gender divisions,Female,Beyond Secondary School,29
1370,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,No,Yes,No,Lack of educational opportunities,4,"Education
Supportive family background",Male,Beyond Secondary School,55
1371,No,No,No,Yes,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,2,The financial ability to obtain a professional degree.,Female,Beyond Secondary School,73
1372,Yes,,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,No,No,,2,financial support,Male,Beyond Secondary School,27
1373,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,Yes,No,,4,I am a feminist so I always had the goal to earn or work like any man in our society,Female,Beyond Secondary School,22
1374,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,1,I Do not care what people say about me and I'm having all of the obstacle standing in my way,Male,Finished Secondary School,20
1375,Yes,Yes,Yes,No,No,No,No,Yes,No,,No,Yes,No,No,Yes,No,,2,"Being Creative, ability to learn and access to finance",Male,Beyond Secondary School,37
1376,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,,Male,Beyond Secondary School,32
1377,Yes,Yes,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,No,No,,2,Education: which permitted me to complete secondary and university studies and then a Master´s Degree on Development Planning at the Institute of Social Studies at The Hague (Holand).,Male,Beyond Secondary School,70
1378,No,No,No,No,No,No,No,No,No,"Better socialisation practices, such that a woman's family doesn't hinder her from achieving these.",No,No,No,No,Yes,No,,1,My education and the hard work I put into it.,Female,Beyond Secondary School,28
1379,Yes,Yes,Yes,No,No,No,No,Yes,No,,No,Yes,No,No,Yes,No,,2,"Les compétences professionnelles, les capacités mentales et physiques, la détermination, la disponibilité.",Male,Beyond Secondary School,53
1380,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,A quality education,Female,Beyond Secondary School,21
1381,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,4,,Male,Beyond Secondary School,26
1382,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,"Support from family, being open-minded, hard work to show everyone that I can do sth better than other",Female,Beyond Secondary School,20
1383,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,a good education,Female,Beyond Secondary School,31
1384,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,No,No,Confidence that a woman can do it,2,"a good education
expectation that I would earn money and be independent
luck that I happened to have a skill that none others had in a particular place
contacts and persistence working at below salary expectations",Female,Beyond Secondary School,50
1385,No,No,No,No,No,No,No,No,No,Reestablishment of the cultural boundaries about the role of women in society,No,No,Yes,No,Yes,No,,1,Education and a great network of friends.,Male,Beyond Secondary School,22
1386,No,No,Yes,No,No,No,No,No,Yes,,No,No,Yes,No,Yes,No,,3,I finished my college and post graduate degree. Women are recognized as equal with men in our family.,Female,Beyond Secondary School,61
1387,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,Education and commitment,Male,Beyond Secondary School,47
1388,No,,Yes,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,3,,Male,Beyond Secondary School,36
1389,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,No,No,mauvaise conjoncture économique,2,une diplome d'étude supérieur élevé et un réseau familial pour la recherche de l'emploi,Male,Beyond Secondary School,28
1390,Yes,No,No,No,No,No,Yes,Yes,No,,Yes,No,No,No,Yes,No,,4,Experience and skills are what have helped me earn money.,Female,Beyond Secondary School,32
1391,No,No,Yes,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,2,Education and having the resources to organice at home,Female,Beyond Secondary School,46
1392,No,,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,Parents perceptions that women's education and financial independence is a priority,Female,Beyond Secondary School,25
1393,Yes,Yes,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,5,,Male,Beyond Secondary School,29
1394,Yes,Yes,Yes,Yes,No,No,No,No,No,,Yes,No,No,No,Yes,No,,5,Inspiration form inside. and a reason to do that job or business.,Male,Beyond Secondary School,22
1395,No,Yes,Yes,No,No,No,No,Yes,No,,Yes,No,No,Yes,No,No,,3,A good education and favourable policy in my organization and in our country,Female,Beyond Secondary School,43
1396,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,Yes,,3,Definitely a sound education and the internet which has exposed me to information and enabled me to connect with awesome women and men as well as opportunities.,Female,Beyond Secondary School,27
1397,No,No,No,No,No,No,No,No,Yes,Free Mentorship programs with proactive outreach.,No,No,Yes,No,No,No,What's missing from this survey is context. These answers are subjective to region/continent.,3,Networking/Mentorship,Male,Beyond Secondary School,44
1398,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,No,No,,3,"God Education ,support from family and the Govt  for good job . Where as for doing business supprtive family,society and Govt and non Govt organisations are required.",Male,Beyond Secondary School,59
1399,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,Support and encouragement to improve my skills.,Female,Beyond Secondary School,28
1400,Yes,Yes,Yes,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,2,"skill development,entrepreneurship development,awareness generation,
give responsibility to NGOS.Give grant to the Good Women Headed NGOS./Womens Groups.Exposure visits, Gender sensitisation programme for men and women. In the School level training in gender. organise women's group .Friendly banking . No interest rate for Loan. give opportunities to Experienced women  to manage the business.
No political intervention .recognise , social and business leaders. Appreciatate models.",Female,Finished Secondary School,60
1401,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,35
1402,No,No,Yes,No,No,No,No,Yes,No,,Yes,No,No,No,Yes,No,,2,My college education,Female,Beyond Secondary School,22
1403,Yes,No,Yes,Yes,No,No,No,No,No,,Yes,Yes,No,No,No,No,,4,"I want to have education, Education are the priorities for men and women should have more education.",Male,Beyond Secondary School,22
1404,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,1,A good network of contacts working in hiring companies.,Male,Beyond Secondary School,38
1405,No,No,Yes,Yes,No,No,No,No,No,,Yes,No,No,No,Yes,No,,3,My family members are well educated and my father never taught me and my sister about the equality so this was the backbone of my success. Same time since my childhood I got opportunity to participate in child clubs where I learnt about various skills which are still helping me.,Male,Beyond Secondary School,28
1406,No,No,No,No,No,No,No,No,No,gender equality culture,No,No,No,No,No,No,a culture based in inequality and gender dichotomy,5,my independent personality that allowed me to create my own job and create a women living with HIV association nevertheless due to the specificity of the association (women living with HIV) its very difficult to get funds in Portugal,Female,Beyond Secondary School,49
1407,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,"Study and a start a business, but I´m not a mother yet...",Female,Beyond Secondary School,33
1408,No,No,Yes,No,No,No,No,Yes,No,,No,Yes,No,No,Yes,No,,2,"Good education 
supportive family",Other,Beyond Secondary School,32
1409,Yes,No,Yes,No,No,No,No,Yes,No,,Yes,No,No,No,Yes,No,,1,,Male,Beyond Secondary School,44
1410,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,MABEY MY EDUCATION EXPERIENCE HAS HELPED.,Female,Beyond Secondary School,26
1411,No,No,Yes,Yes,No,No,No,No,No,,No,Yes,No,Yes,No,No,,5,"Support from friends and family, the internet and technology.",Female,Beyond Secondary School,36
1412,No,No,No,No,No,No,No,No,No,Investment and/or Finance opportunities for women who do not have collateral as security to obtain financing.,No,No,No,No,No,No,Political barriers and interference in business.,1,Education and work experience.,Female,Beyond Secondary School,52
1413,No,No,Yes,No,Yes,No,No,No,No,,No,Yes,No,Yes,No,No,,3,My successful university education.,Female,Beyond Secondary School,52
1414,Yes,Yes,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,3,"To get a good job, I have to build many networking as many as possible.",Female,Beyond Secondary School,23
1415,,Yes,No,No,No,No,Yes,No,No,,No,No,No,Yes,No,No,,2,,Female,Finished Secondary School,19
1416,Yes,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,3,,Male,Finished Secondary School,53
1417,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,Yes,No,,2,,Male,Beyond Secondary School,21
1418,No,No,No,Yes,No,No,No,No,No,,No,No,Yes,No,No,No,,3,,Female,Finished Secondary School,40
1419,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,knowing people in the field that I want to work in.,Female,Finished Secondary School,52
1420,No,No,Yes,No,No,No,No,Yes,No,,No,Yes,Yes,No,No,No,,3,"I am a man. Nevertheless, higher education has granted me access to a decent and well-paying employment",Male,Beyond Secondary School,53
1421,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,No,No,No,Yes,No,Child bearing,3,Good education and charater,Male,Beyond Secondary School,48
1422,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,3,"supportive family, a good education, personal confidence and never giving up even when it is difficult (as it sometimes is).",Female,Beyond Secondary School,52
1423,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,Education,Male,Beyond Secondary School,29
1424,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,My skills and ability to adapt,Female,Beyond Secondary School,22
1425,No,No,Yes,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,3,"The support of my family and the belief that I could actually do it. The values we learn from early on are very important since they influence our own vision of ourselves and that of our capabilities. The social perspective, values and education are some of the main things to work on.",Female,Beyond Secondary School,22
1426,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,1,,Female,Beyond Secondary School,29
1427,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,No,No,,2,,Female,Beyond Secondary School,35
1428,No,No,No,Yes,Yes,No,No,No,No,,No,No,No,No,Yes,No,deliberate gender discrimination,2,"I am a man, but have faced the similar problems as women or other powerless sections / ethnic groups /minorities face in my country. Still, what is possible for a disadvantaged man to break the shackles, may not be open to women. In any case, education, capabilities, hard work, talent/intelligence and other similar qualities helped me to survive.",Male,Beyond Secondary School,68
1429,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,,Female,Beyond Secondary School,52
1430,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,2,"a good education, supportive family, getting out of my comfort zone and sacrificing time I would otherwise spend caring for my children and stayed late at work",Female,Beyond Secondary School,30
1431,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,2,,Female,Finished Secondary School,47
1432,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,3,"My education, and a strong sense that I'm fully able to succeed on my carreer.",Female,Beyond Secondary School,29
1433,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,4,A GOOD JOB,Female,Finished Secondary School,28
1434,Yes,Yes,No,Yes,No,No,No,No,No,,No,Yes,No,No,No,No,,3,,Female,Beyond Secondary School,18
1435,No,No,No,No,Yes,No,No,No,No,a more gender equal society,No,No,Yes,No,Yes,No,,4,"to be able to study, feminism",Female,Beyond Secondary School,54
1436,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,2,,Male,Finished Secondary School,32
1437,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,1,,Female,Beyond Secondary School,66
1438,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,La educación y el contexto socioeconómico favorable.,Female,Beyond Secondary School,23
1439,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,"Pienso que tener formación es vital al momento de conseguir un buen trabajo. Sin embargo, las oportunidades salariales siguen siendo escasas, ello, unido a la falta de oportunidades para las mujeres, sobre todo para aquellas que no tienen acceso a la educación y que además siguen siendo objeto de desigualdad en una sociedad que está cobijada por estereotipos.",Female,Beyond Secondary School,44
1440,Yes,Yes,Yes,No,No,No,No,No,Yes,,No,No,No,Yes,Yes,No,,4,Volunteering permitted me to gain the practical skills in my field of work.  To maintain the job I have to be straight forward with my hierarchy and those I work together with. Also there is the great need for me to continuously advance in gaining more professional skills so as to be able to adopt to the changing times.  Working with people from different background and at different regions and supporting hard working conditions is giving me the strength to support adverse working conditions.,Male,Beyond Secondary School,45
1441,No,No,No,Yes,No,Yes,No,No,No,,No,No,No,Yes,Yes,No,,3,,Female,Beyond Secondary School,22
1442,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,"Good education and experience -- I was able to go to a good college, have a family that supported my choices, and mentors that pushed me to challenge myself.",Female,Beyond Secondary School,25
1443,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,1,Performance of my Herculean task with strong will power helped me to achieve the goal.,Male,Beyond Secondary School,63
1444,Yes,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,1,My father's point of view of providing me good eduation and a different women role model thought at home.,Female,Beyond Secondary School,32
1445,No,Yes,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,35
1446,No,No,No,No,No,No,No,Yes,No,,No,No,No,No,No,No,Such low pay and they look at the fact you are a single mom,2,Myself,Female,Beyond Secondary School,46
1447,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,4,"I worked as a Library Assistant for the Federal government as well as for a community college. I was paid a living wage and had benefits because I was a member of a union. There is a reason why unions were created in the 1880s. In our modern day slavery cultures, unions are needed as much today.",Female,Beyond Secondary School,68
1448,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,Yes,No,No,,3,"My education helped me get a good job, aided by the beliefs of a patriarchy society. Society believes that boys are superior to girl; and should be responsible for all her needs. This belief affects the confidence of women, to venture into professions perceived man's job or even get a normal day's job while maintaining a problem free relation/marriage, because she is also expected to do all of the homecare work for the family; it also causes people not to respect the labor of women, as men.",Male,Beyond Secondary School,27
1449,No,No,Yes,No,Yes,No,No,No,No,,No,No,No,Yes,No,Yes,,3,none due to ck of education in the right subjects and very poor medical care on the NHS,Female,Beyond Secondary School,58
1450,No,No,No,No,Yes,No,No,Yes,No,,No,No,Yes,No,Yes,No,,3,"Supportive parents, enabling environments, good mentors, motivation, and a little bit of luck!",Female,Beyond Secondary School,55
1451,No,No,No,No,No,Yes,No,No,No,A business system that values feminine traits as well as masculine,Yes,No,No,No,Yes,No,,2,Mentors and women in higher positions in the company advocating for me,Female,Beyond Secondary School,28
1452,Yes,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,"Choosing to believe in myself, put my education and career first, hard work, right place at the right time, being kind, networking, letting my work ethic and values speak louder that my words in order to get work again. As I get closer to my 30's and the idea of family creeps more to the forefront of my mind, I do fear that my current chosen career path will have to put it all aside or on pause and maybe even altered.",Female,Beyond Secondary School,28
1453,No,No,Yes,No,No,No,No,Yes,No,,No,Yes,No,No,Yes,No,,2,C'est le courage et la confiance en mes capacités,Female,Beyond Secondary School,45
1454,No,No,Yes,No,No,No,No,No,Yes,,No,No,No,No,Yes,No,Inadequate support from family,5,a good education; hardwork; guide/mentoring,Male,Beyond Secondary School,36
1455,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,1,,Female,Beyond Secondary School,27
1456,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,1,"_ good high education and training, long and excellent experience and skills, family support and encouragement.",Female,Beyond Secondary School,46
1457,Yes,,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,3,,Female,Finished Secondary School,29
1458,No,No,Yes,No,No,No,No,Yes,No,,No,Yes,Yes,No,No,No,,2,"Education, support and mentoring, people believing in me and helping me to have the confidence to step out.",Female,Beyond Secondary School,62
1459,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,2,"A good education, a supportive family, encouragement to contribute to causes and help others to reach their potential.",Female,Beyond Secondary School,74
1460,No,Yes,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,2,Resultados en mi trabajo y sacrificar tiempo personal y para la familia.,Female,Finished Secondary School,33
1461,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,Higher Education and motivating role models,Female,Beyond Secondary School,40
1462,No,No,Yes,No,Yes,No,No,No,No,,No,No,No,Yes,Yes,No,,2,Quality education,Female,Beyond Secondary School,27
1463,No,No,No,No,No,No,No,No,Yes,,No,No,No,Yes,No,No,,2,,Male,Beyond Secondary School,25
1464,Yes,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,3,"That it is a family business and my only brother didn't want to work here so I was the only option to keep the business working, however becoming a mother and wife has made my job more difficult and sometimes I feel that I have to choose between my family or my job",Female,Beyond Secondary School,33
1465,No,No,Yes,No,No,No,No,No,No,,Yes,No,No,No,No,No,,3,Education,Female,Beyond Secondary School,26
1466,No,Yes,Yes,No,No,No,No,Yes,No,,No,Yes,No,No,Yes,No,,5,,Male,Beyond Secondary School,17
1467,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,Yes,No,No,,5,education - access to a network of like-minded individuals - mentors - personal drive and ambition to succeed,Female,Beyond Secondary School,76
1468,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,20
1469,No,No,Yes,No,No,No,No,No,No,"Change social views on women's purpose, value and role in society and then focus on access to banking etc.",No,No,Yes,No,Yes,No,,3,Education and empowerment although I was subjected to views and media that suggested women were lesser than men but I was also empowered by society and media (in Canada) but then my strong educational background titled it in the right direction.,Female,Beyond Secondary School,28
1470,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,Yes,No,Yes,No,No,,1,,Male,Beyond Secondary School,55
1471,No,No,Yes,No,Yes,No,No,No,No,,No,Yes,No,No,Yes,No,,3,Living in a society that provides a variety of opportunities.,Male,Beyond Secondary School,82
1472,No,No,Yes,No,No,No,Yes,No,No,,No,No,Yes,No,Yes,No,,3,"In my personal experience it has helped me to get a good job, my education, family support, understanding with my colleagues about my own particularities as a woman, public policies as non-discrimination and women inclusion, a process of awareness of the society for acknowledge that women deserve right to personal security, respect to prevent assaults and opportunities similar to men to develop projects of jobs or business without harassment for our feminine condition.",Female,Beyond Secondary School,29
1473,No,No,No,No,Yes,No,No,No,No,,No,No,No,No,Yes,No,,2,,Female,Beyond Secondary School,18
1474,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,2,"being fierce, taking and provocing opportunities, not letting men take advantage of me.",Female,Beyond Secondary School,40
1475,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,No,Yes,No,,3,"My level of education it was very important, my family expectition. In addition I do believe that I have all the right  to ocupy the roles I am prepared for. 
On the other hand I feel that I have a limit to acces a management position.",Female,Beyond Secondary School,40
1476,,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,Yes,No,No,,3,,Female,Beyond Secondary School,72
1477,Yes,,No,No,No,Yes,No,No,No,a change in work culture,No,No,Yes,No,Yes,No,,5,"Support from my colleagues, who saw my potential. Reorganizations in my company that opened new opportunities. Delivering good work with results that are of use for the company.",Female,Beyond Secondary School,35
1478,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,,Male,Beyond Secondary School,66
