,Country,City,Location
3747,United States of America,Oxnard,"(34.1975048, -119.1770515)"
3748,Peru,Lima,"(-12.0552079, -77.026476429964)"
3749,United Kingdom of Great Britain and Northern Ireland,,"(54.7023545, -3.2765752)"
3750,Turkey,Denizli,"(37.7715165, 29.0863125)"
3751,Canada,Toronto,"(43.6529206, -79.3849007)"
3752,Saudi Arabia,,"(25.6242618, 42.3528328)"
3753,Mexico,Mexico City,"(19.4325301, -99.1332101)"
3754,United States of America,"Alexandria, VA","(38.8051095, -77.0470228)"
3755,Spain,Madrid,"(40.4167047, -3.7035824)"
3756,Cameroon,YAOUNDE,"(3.8689867, 11.5213344)"
3757,Sri Lanka,Madrid,
3758,United States of America,West hempstead,"(40.7048242, -73.6501294)"
3759,Canada,Montréal,"(45.5087928, -73.5539819)"
3760,United States of America,new york,"(40.7305991, -73.9865811)"
3761,Russian Federation,Абакан,"(53.7152883, 91.4388763)"
3762,Indonesia,Makassar,"(-5.1342961, 119.4124282)"
3763,Trinidad and Tobago,,"(10.8677845, -60.9821066)"
3764,United States of America,"Bronx, NY","(40.8527855, -73.8390537935388)"
3765,Canada,Mississauga,"(43.5892854, -79.6441645)"
3766,Spain,Barcelona,"(41.3825596, 2.1771353)"
3767,El Salvador,San Salvador,"(13.6977587, -89.1930099)"
3768,United States of America,San Antonio Texas,"(29.4246002, -98.4951404)"
3769,Spain,Barcelona,"(41.3825596, 2.1771353)"
3770,United States of America,"Decatur, GA","(33.7737582, -84.2960689)"
3771,United Kingdom of Great Britain and Northern Ireland,London,"(51.5073219, -0.1276473)"
3772,Egypt,Cairo,"(30.0488185, 31.2436663)"
3773,Spain,barcelona,"(41.3825596, 2.1771353)"
3774,Colombia,Barranquilla,"(11.04667645, -74.8490503668463)"
3775,United Kingdom of Great Britain and Northern Ireland,Salisbury,"(51.0736612, -1.7951175)"
3776,Afghanistan,Kabul,"(34.5197058, 69.1624302)"
3777,United Kingdom of Great Britain and Northern Ireland,Cardiff,"(51.4816546, -3.1791933)"
3778,India,,"(22.3511148, 78.6677428)"
3779,Canada,Quebec,"(54.0, -71.9999999)"
3780,Jamaica,Kingston,"(17.9712148, -76.7928127)"
3781,Mexico,Monterrey,"(25.63978365, -100.293101529066)"
3782,United Kingdom of Great Britain and Northern Ireland,Cardiff,"(51.4816546, -3.1791933)"
3783,United States of America,Detroit,"(42.3486635, -83.0567374)"
3784,Kenya,Nairobi,"(-1.2832532, 36.8172449)"
3785,Lao People's Democratic Republic,New YOrk,
3786,Ireland,Meath,
3787,Nigeria,KADUNA,
3788,United States of America,Capitola,
3789,Spain,Bilbao,
3790,United Kingdom of Great Britain and Northern Ireland,Tiverton,
3791,United Kingdom of Great Britain and Northern Ireland,,
3792,Nigeria,Uyo,
3793,United States of America,,
3794,Pakistan,Lahore,
3795,Brazil,Brasilia,
3796,United States of America,New York,
3797,United Kingdom of Great Britain and Northern Ireland,Sheffield,
3798,United States of America,DC,
3799,Cyprus,Nicosia,
3800,Canada,Ottawa,
3801,Venezuela (Bolivarian Republic of),Nueva Esparta,
3802,Canada,Banff,
3803,France,Toulouse,
3804,United States of America,New York,
3805,Mexico,,
3806,Guyana,,
3807,France,Paris,
3808,Spain,Madrid,
3809,United States of America,Pittsford  NY,
3810,Mexico,Ciudad de México,
3811,India,kolkata,
3812,Spain,Palma de Mallorca,
3813,United States of America,Denver,
3814,China,Beijing,
3815,Uruguay,Montevideo,
3816,Cameroon,YAOUNDE,
3817,Egypt,Cairo,
3818,United Kingdom of Great Britain and Northern Ireland,london,
3819,India,Hyderabad,
3820,Palestine (State of),Gaza,
3821,Bosnia and Herzegovina,Sarajevo,
3822,United States of America,Brooklyn,
3823,United States of America,New York City,
3824,United States of America,San Juan PR,
3825,Canada,Montreal,
3826,Brazil,Campinas/SP,
3827,United States of America,TEXAS,
3828,Spain,Madrid,
3829,Kenya,Nairobi,
3830,United Kingdom of Great Britain and Northern Ireland,"Northam, Devon",
3831,United States of America,Pittsburg Pa,
3832,Canada,Toronto,
3833,United Kingdom of Great Britain and Northern Ireland,Burnham On Sea,
3834,United States of America,Knoxville,
3835,India,Bangalore,
3836,New Zealand,Te Kauwhata,
3837,Colombia,Riohacha,
3838,Mexico,Zacatecas,
3839,Spain,Toledo,
3840,Panama,Panama,
3841,Iraq,baghdad,
3842,Brazil,Bragança Paulista,
3843,Czech Republic,Prague,
3844,Mauritius,curepipe,
3845,United Kingdom of Great Britain and Northern Ireland,BEDFORD,
3846,Italy,Bologna,
3847,Jordan,Amman,
3848,United Kingdom of Great Britain and Northern Ireland,Chippenham,
3849,Brazil,Brasilia,
3850,Colombia,bogota,
3851,United States of America,"Grand Ledge, Michigan",
3852,Canada,Vancouver,
3853,Brazil,taubate,
3854,Belize,Belize City,
3855,United States of America,New York,
3856,Canada,Prince george,
3857,Costa Rica,Alajuela,
3858,Canada,toronto,
3859,Switzerland,Geneva,
3860,Brazil,SAO PAULO,
3861,Jordan,Amman,
3862,Italy,Rome,
3863,Honduras,Santa Rosa de Copan,
3864,United Kingdom of Great Britain and Northern Ireland,Brighton,
3865,Brazil,Rio de Janeiro,
3866,Nigeria,Abuja,
3867,Mexico,Monterrey,
3868,Pakistan,Lahore,
3869,Mexico,Guadalajara,
3870,Lebanon,Beirut,
3871,Georgia,Tbilisi,
3872,Austria,,
3873,Canada,Ottawa,
3874,Brazil,Porto Alegre,
3875,Nigeria,Abuja,
3876,United States of America,,
3877,Indonesia,Tasikmalaya,
3878,United States of America,Durham North Carolina,
3879,Chile,La Serena,
3880,Greece,Thessaloniki,
3881,Iraq,Baqubah,
3882,Costa Rica,Alajuela,
3883,Mexico,Mexico City,
3884,Nigeria,Abuja,
3885,Canada,Toronto,
3886,United Kingdom of Great Britain and Northern Ireland,Bristol,
3887,United States of America,Tres Pinos,
3888,United States of America,"San Carlos, CA",
3889,Spain,Madrid,
3890,Cameroon,Buea,
3891,Germany,Hamburg,
3892,Brazil,Brasília / Distrito Federal,
3893,Barbados,Bridgetown,
3894,Italy,Alessandria,
3895,Bangladesh,,
3896,United Kingdom of Great Britain and Northern Ireland,Malvern,
3897,Argentina,Buenos Aires,
3898,Brazil,"Belo Horizonte, MG",
3899,Jamaica,Kingston,
3900,Nigeria,Katsina,
3901,Canada,ottawa,
3902,Canada,Ottawa,
3903,Saudi Arabia,,
3904,Canada,Winnipeg,
3905,Bolivia (Plurinational State of),La Paz,
3906,Peru,San Isidro-Lima,
3907,Australia,Ballarat,
3908,United States of America,Washington DC.,
3909,United Kingdom of Great Britain and Northern Ireland,Belfast,
3910,Brazil,Curitiba,
3911,Fiji,Suva,
3912,Germany,,
3913,Indonesia,kudus,
3914,Sweden,,
3915,Nicaragua,,
3916,Republic of Korea,soun city,
3917,United States of America,New York City,
3918,United States of America,"Strafford, PA",
3919,Nigeria,Lagos,
3920,India,Kolkata,
3921,Turkey,Istanbul,
3922,Brazil,Curitiba,
3923,Honduras,San Pedro Sula,
3924,India,Kolkata,
3925,United Kingdom of Great Britain and Northern Ireland,Stamford,
3926,United Kingdom of Great Britain and Northern Ireland,Durham,
3927,Germany,Aachen,
3928,United States of America,"Darien, Connecticut",
3929,United States of America,"Kansas City, Kansas",
3930,Sudan,PortSudan,
3931,Germany,Heilbronn,
3932,Iraq,baghdad,
3933,Nigeria,Abuja,
3934,Brazil,João Monlevade,
3935,Peru,Lima,
3936,United States of America,"Brooklyn, NY",
3937,Mexico,"Manzanillo, Colima.",
3938,Peru,Lima,
3939,Brazil,Rio Manso - MG,
3940,United Kingdom of Great Britain and Northern Ireland,Cheltenham,
3941,United Kingdom of Great Britain and Northern Ireland,London,
3942,United States of America,San Juan,
3943,Egypt,"Muscat, Oman",
3944,Bahrain,East Riffa,
3945,Bahrain,Manama,
3946,Fiji,SUVA,
3947,Democratic Republic of the Congo,"GOMA, North Kivu",
3948,United States of America,"Lenexa, KS",
3949,Egypt,luxor,
3950,United States of America,"New York, NY",
3951,India,Noida,
3952,Morocco,Rabat,
3953,Argentina,Mendoza,
3954,Guyana,Georgetown,
3955,Trinidad and Tobago,ARIMA,
3956,Sweden,Hedemora,
3957,Spain,Llucmajor,
3958,Spain,Barcelona,
3959,Cameroon,Douala,
3960,South Africa,Cape Town,
3961,United States of America,,
3962,South Africa,Cape Town,
3963,Iran (Islamic Republic of),Tehran,
3964,Burkina Faso,Ouagadougou,
3965,Chile,Santiago de Chile,
3966,United States of America,"Washington, DC",
3967,Brazil,Brasília,
3968,Brazil,Rio de Janeiro,
3969,Canada,Fort Erie,
3970,India,moradabad,
3971,United States of America,Washington/DC,
3972,United States of America,,
3973,Togo,Lome,
3974,United States of America,"New York, New York",
3975,Burkina Faso,Ouagadougou,
3976,United States of America,Boston,
3977,Canada,St.Thomas,
3978,New Zealand,Wellington,
3979,South Africa,Cape Town,
3980,United States of America,Jersey city,
3981,Canada,Vancouver,
3982,Canada,Montreal,
3983,Zambia,Lusaka,
3984,Ukraine,Kharkiv,
3985,Canada,Ottawa,
3986,Indonesia,Tangerang Selatan,
3987,Botswana,,
3988,Bahrain,Riffa,
3989,United States of America,"Manhattan, KS",
3990,Norway,Fredrikstad,
3991,Somalia,Mogadishu,
3992,Australia,Perth,
3993,Nigeria,abuja,
3994,Australia,Redland Bay,
3995,Spain,Santander,
3996,Netherlands,Amsterdam,
3997,Brazil,Rio de Janeiro,
3998,New Zealand,Dunedin,
3999,United States of America,"Topeka, Kansas",
4000,United States of America,New York,
4001,United States of America,New York,
4002,Indonesia,sidoarjo,
4003,Uganda,Kampala,
4004,Brazil,São João Del Rei,
4005,Brazil,RIO,
4006,Australia,Perth,
4007,United Kingdom of Great Britain and Northern Ireland,Stoke,
4008,Italy,Geneva,
4009,United States of America,,
4010,Portugal,Braga,
4011,Switzerland,Zug/ZG,
4012,Australia,Canberra,
4013,Czech Republic,Prague,
4014,Costa Rica,Heredia,
4015,Colombia,Bogotá,
4016,Spain,madrid,
4017,Peru,Lima,
4018,Saint Lucia,Castries,
4019,France,Le Mans,
4020,Colombia,Bogotá,
4021,Canada,Saint John New Brunswick,
4022,Nigeria,Abuja,
4023,Belarus,Rechitsa,
4024,Burkina Faso,Ouagadougou,
4025,United States of America,"Santa Cruz, California",
4026,Mexico,Mexico City,
4027,United States of America,"Moreno Valley, CA",
4028,Canada,Edmonton,
4029,United States of America,Aurora,
4030,Mexico,Mexico City,
4031,Cote d'Ivoire,Abidjan,
4032,Nigeria,Lagos,
4033,France,Nantes,
4034,Sweden,Dalby,
4035,Syrian Arab Republic,Damascus,
4036,Belarus,Zaslavl,
4037,Canada,Campbell River,
4038,Nigeria,Abuja,
4039,United States of America,"Ajijic, Jalisco, Mexico",
4040,Australia,Boronia,
4041,Ukraine,Kyiv,
4042,Portugal,lisbon,
4043,Spain,Madrid,
4044,Argentina,Buenos Aires,
4045,Brazil,Brasília,
4046,El Salvador,San Salvador,
4047,Denmark,Copenhagen,
4048,India,,
4049,Canada,Montreal,
4050,Sudan,,
4051,Canada,Magog,
4052,Mexico,CHIAPAS,
4053,United States of America,Herrin Il,
4054,Uganda,Arus,
4055,Nigeria,Abuja,
4056,Sierra Leone,Freetown,
4057,Nigeria,Dutse,
4058,Singapore,Singapore,
4059,Maldives,Male,
4060,Spain,Barcelona,
4061,Mexico,Mexico City,
4062,Colombia,Bogotá,
4063,Switzerland,Lausanne,
4064,Canada,Montreal,
4065,Canada,Calgary,
4066,Australia,Yeppoon,
4067,United Kingdom of Great Britain and Northern Ireland,Coventry,
4068,Bangladesh,dhaka,
4069,Cameroon,Douala,
4070,Sweden,Stockholm,
4071,Canada,Toronto,
4072,Brazil,rio de Janeiro,
4073,New Zealand,Auckland,
4074,Canada,"Cantley, QC",
4075,Nigeria,Abia state,
4076,Brazil,Rio de Janeiro,
4077,United States of America,Boynton Beach,
4078,Guatemala,Guatemala,
4079,Brazil,Porto Alegre,
4080,United States of America,Mobile,
4081,Tunisia,monastir,
4082,United States of America,"Melville,ny",
4083,United Kingdom of Great Britain and Northern Ireland,,
4084,United States of America,"Carrboro,  NC",
4085,Brazil,Volta Redonda/RJ,
4086,United States of America,Los Angeles,
4087,Syrian Arab Republic,,
4088,Ghana,Kumasi,
4089,United States of America,Oak Parkpark California,
4090,United States of America,"Atlanta, Georgia, USA",
4091,United States of America,Bronx,
4092,United States of America,"Lubbock, TX",
4093,United States of America,Denver/Colorado,
4094,Australia,,
4095,United States of America,"West Orange, NJ",
4096,United States of America,"San Jose, CA",
4097,United Kingdom of Great Britain and Northern Ireland,London,
4098,United States of America,"New York, NY",
4099,Iraq,,
4100,New Zealand,,
4101,Spain,Madrid,
4102,Venezuela (Bolivarian Republic of),,
4103,Nigeria,Abuja,
4104,United States of America,,
4105,Mexico,"San Miguel de Allende, Guanajuato",
4106,Mexico,"Guadalajara, Jalisco",
4107,United States of America,Mazama WA,
4108,United States of America,"Kirkland, WA",
4109,Pakistan,Islamabad,
4110,France,issoire,
4111,Portugal,Lisboa,
4112,Malaysia,Subang Jaya,
4113,Nigeria,Port Harcourt,
4114,United States of America,"Dallas, TX",
4115,United Kingdom of Great Britain and Northern Ireland,London,
4116,United Kingdom of Great Britain and Northern Ireland,,
4117,Brazil,SAO JOSE DO RIO PRETO -SP,
4118,Fiji,Suva,
4119,Pakistan,"Raiwind Road, Lahore",
4120,Norway,Elverum,
4121,United States of America,New York,
4122,United States of America,Kingston,
4123,United States of America,Santa Ana 92705,
4124,United Kingdom of Great Britain and Northern Ireland,Manchester,
4125,United States of America,,
4126,Mexico,Mexicali,
4127,United States of America,Brooklyn,
4128,Uruguay,Departamento de San José,
4129,Spain,"Bilbao, Basque Country",
4130,Argentina,"san miguel, buenos aires",
4131,United States of America,Denver,
4132,Australia,Brisbane,
4133,Indonesia,Surabaya City,
4134,Australia,Melbourne,
4135,Brazil,Ilhéus,
4136,Indonesia,,
4137,Burkina Faso,ouagadougou,
4138,Mexico,Mérida,
4139,United States of America,,
4140,Mexico,CDMX,
4141,Palau,,
4142,Sri Lanka,Jaffna,
4143,Canada,Ottawa,
4144,United States of America,"Long Beach, NY",
4145,Canada,Ladysmith,
4146,Denmark,Copenhagen,
4147,Philippines,Manila,
4148,Canada,Lethbridge AB,
4149,United States of America,,
4150,El Salvador,,
4151,Portugal,Porto,
4152,United States of America,"West Covina, CA",
4153,Cambodia,Phnom Penh,
4154,United States of America,Fort Lauderdale,
4155,Pakistan,Multan,
4156,Mexico,Mexico City,
4157,United States of America,"Eugene, OR",
4158,Oman,MUSCAT,
4159,United States of America,"Los Angeles, California",
4160,United Kingdom of Great Britain and Northern Ireland,London,
4161,Senegal,Dakar,
4162,United States of America,Ny,
4163,Tunisia,SFAX,
4164,United States of America,"New York, New York",
4165,United States of America,Denver,
4166,United States of America,"Houston, Texas",
4167,United States of America,Eagle,
4168,United States of America,washington dc,
4169,Saint Lucia,Roseau Valley,
4170,Hungary,London,
4171,Spain,Madrid,
4172,Trinidad and Tobago,,
4173,Australia,Sydney,
4174,Morocco,RABAT,
4175,United States of America,"Phoenix, AZ",
4176,Mexico,Cdmx,
4177,United Kingdom of Great Britain and Northern Ireland,LONDON,
4178,Panama,Panama city,
4179,Singapore,Singapore,
4180,Mexico,Cdmx,
4181,Nicaragua,Matagalpa,
4182,United States of America,Many different places.  Now in Wisconsin,
4183,Canada,Downsview,
4184,United States of America,Playa Del Rey,
4185,Liberia,Monrovia,
4186,Canada,"Victoria, BC",
4187,Venezuela (Bolivarian Republic of),Barinas,
4188,Mexico,"Ciudad de México, Tlalpan.",
4189,Iraq,Baghdad,
4190,Canada,Montréal,
4191,United States of America,"Wilmington , Delaware",
4192,Australia,Gosford,
4193,Colombia,Pereira,
4194,Egypt,Assiut,
4195,Mexico,Cuernavaca,
4196,Nepal,Kathmandu,
4197,Philippines,Metro Mania,
4198,Australia,Werribee,
4199,United States of America,Forest Hills,
4200,Kenya,Kapsabet,
4201,China,天津,
4202,Peru,Lima,
4203,Canada,Vancouver,
4204,Botswana,Gaborone,
4205,Philippines,Makati City,
4206,United States of America,miami,
4207,Ireland,Sligo,
4208,Peru,Lima,
4209,Malaysia,Petaling Jaya,
4210,United States of America,elyria ohio,
4211,Australia,Melbourne,
4212,United Republic of Tanzania,Dar es Salaam,
4213,Guyana,Georgetown,
4214,Indonesia,Jakarta,
4215,India,Delhi,
4216,Bangladesh,Dhaka,
4217,Myanmar,Yangon,
4218,Egypt,,
4219,United States of America,"Kansas City,  KS",
4220,Italy,Rome,
4221,New Zealand,Auckland,
4222,Morocco,Meknes,
4223,United States of America,St. Louis,
4224,Japan,"Taipei, Taiwan (a democratic nation)",
4225,South Africa,Johannesburg,
4226,Canada,Brossard,
4227,Ghana,Navrongo,
4228,Malaysia,Kuching,
4229,United States of America,Southfield,
4230,Philippines,Manila,
4231,Argentina,La Matanza,
4232,Philippines,Cavite,
4233,Tunisia,Ariana,
4234,Australia,Brisbane,
4235,India,Hansi,
4236,Canada,Canpbell River,
4237,United Republic of Tanzania,Zanzibar,
4238,Mexico,Cd de México,
4239,Mexico,MEXICO CITY,
4240,United States of America,,
4241,United States of America,Oregon,
4242,Philippines,Cebu City,
4243,Viet Nam,Ho Chi Minh City,
4244,India,Kochi,
4245,India,Khetri Nagar Rajasthan,
4246,Colombia,Bogota,
4247,Bhutan,Thimphu,
4248,Spain,Madrid,
4249,India,Bapatla,
4250,India,"Navsari, Gujarat",
4251,Canada,Toronto,
4252,India,Madurai,
4253,Brazil,Londrina,
4254,India,Darbhanga,
4255,Afghanistan,Kabul,
4256,United States of America,"Berkeley, CA",
4257,South Africa,Joburg,
4258,Morocco,Rabat-Salé,
4259,Mexico,"Tijuana, Baja California",
4260,Bangladesh,Dhaka,
4261,United States of America,Delray Beach,
4262,Egypt,Cairo,
4263,Australia,Melbourne,
4264,United States of America,Dallas,
4265,Indonesia,Jakarta's,
4266,Senegal,Dakar,
4267,New Zealand,Dunedin,
4268,India,kollam,
4269,United States of America,"Los Gatos, CA",
4270,United States of America,Philadelphia,
4271,Canada,"Duncan, BC",
4272,Canada,Ottawa,
4273,Philippines,Makati City,
4274,Chile,Concepción,
4275,Mexico,Mexico,
4276,United States of America,Newcastle,
4277,Canada,Toronto,
4278,Trinidad and Tobago,Port of Spain,
4279,Indonesia,Tangerang City,
4280,Philippines,Metro Manila,
4281,India,Faridabad,
4282,Indonesia,Cibinong - Indonesia,
4283,Canada,Kapuskasing,
4284,New Zealand,Hamilton,
4285,India,Chennai,
4286,Syrian Arab Republic,,
4287,India,"BRAJRAJNAGAR DIST JHARSUGUDA, STATE ODISHA",
4288,United States of America,Alameda CA,
4289,United States of America,Queens/New York City,
4290,Guyana,Georgetown,
4291,India,New Delhi,
4292,Japan,Tokyo,
4293,Lebanon,Beirut,
4294,India,Assam,
4295,Iraq,karbala,
4296,Serbia,Belgrade,
4297,Afghanistan,Kabul,
4298,Nigeria,Abuja FCT,
4299,India,Lucknow,
4300,Kenya,Nairobi,
4301,United States of America,Aurora,
4302,Mexico,,
4303,Egypt,,
4304,Italy,Bergamo,
4305,United States of America,Austin,
4306,India,Ahmedabad,
4307,India,"Ghaziabad, U.P.",
4308,Cyprus,Nicosia,
4309,Ukraine,Kerch,
4310,United Kingdom of Great Britain and Northern Ireland,,
4311,New Zealand,Dunedin,
4312,Iran (Islamic Republic of),Tehran,
4313,United States of America,,
4314,India,,
4315,United States of America,"Maricopa, AZ",
4316,Pakistan,Rawalpindi,
4317,Australia,Melbourne,
4318,Germany,Soest,
4319,Spain,Madrid,
4320,United States of America,Laguna Niguel,
4321,Guatemala,Guatemala,
4322,Lebanon,,
4323,Spain,Valencia,
4324,Republic of Korea,DAEGU,
4325,India,Mumbai,
4326,United States of America,"Portland, Oregon",
4327,Georgia,Tbilisi,
4328,Cameroon,Yaoundé,
4329,Spain,Madrid,
4330,Bhutan,Thimphu,
4331,Uzbekistan,Samarkand,
4332,Singapore,Singapore,
4333,Indonesia,,
4334,Indonesia,Surakarta,
4335,Uzbekistan,Samarkand,
4336,Sri Lanka,GALLE,
4337,Bangladesh,Dhaka,
4338,United Kingdom of Great Britain and Northern Ireland,Liverpool,
4339,Algeria,Boumerdes,
4340,Argentina,,
4341,France,,
4342,United Kingdom of Great Britain and Northern Ireland,Cirencester,
4343,United States of America,"west haven, connecticut",
4344,Spain,madrid,
4345,Spain,Madrid,
4346,Philippines,Iloilo city,
4347,France,Toulouse,
4348,Bangladesh,Dhaka,
4349,Sudan,Elfasher,
4350,Germany,Chemnitz,
4351,Iran (Islamic Republic of),tehran,
4352,Egypt,,
4353,China,Beijing,
4354,Belarus,Brest,
4355,United Kingdom of Great Britain and Northern Ireland,Welling,
4356,Venezuela (Bolivarian Republic of),Caracas,
4357,Australia,City Beach  WA 6015,
4358,United Kingdom of Great Britain and Northern Ireland,London,
4359,Niger,Niamey,
4360,Uzbekistan,Tashkent,
4361,Afghanistan,farah province,
4362,Syrian Arab Republic,Damascus,
4363,India,Calcutta /Kolkata,
4364,Zimbabwe,Harare,
4365,Palestine (State of),Khanyounis,
4366,Mali,Bamako,
4367,United States of America,Denver,
4368,Slovakia,Bratislava,
4369,United States of America,New York,
4370,Viet Nam,Hanoi,
4371,Portugal,porto,
4372,Egypt,Cairo,
4373,Spain,Madrid,
4374,Barbados,Bridgetown,
4375,France,caen,
4376,Denmark,Helsinge,
4377,Ireland,,
4378,Spain,Madrid,
4379,India,Delhi,
4380,China,Hong Kong,
4381,Qatar,Doha,
4382,Colombia,Cartagena de indias,
4383,Morocco,Casablanca,
4384,France,Le havre,
4385,Sudan,Khartoum,
4386,Australia,Gosford,
4387,Ireland,"Fenit, Tralee",
4388,Democratic Republic of the Congo,Kipusha- Kabinda,
4389,Netherlands,Amsterdam,
4390,Ireland,Dublin,
4391,Ghana,Accra,
4392,India,Mumbai,
4393,India,Bangalore,
4394,Denmark,Odense,
4395,Canada,Montreal,
4396,Australia,Sydney,
4397,Italy,Grosseto,
4398,United States of America,Carlisle,
4399,United Kingdom of Great Britain and Northern Ireland,Halifax,
4400,United Kingdom of Great Britain and Northern Ireland,London,
4401,United Kingdom of Great Britain and Northern Ireland,London,
4402,Austria,Vienna,
4403,Bangladesh,Dhaka,
4404,United States of America,Pasadena California,
4405,Cote d'Ivoire,Abidjan,
4406,Libya,Tripoli,
4407,United States of America,Atlanta,
4408,Pakistan,Karachi,
4409,Mexico,Mexico City,
4410,Nigeria,"Achara Ihechiowa, Arochukwu, Abia State",
4411,Mali,Bamako,
4412,Italy,Como,
4413,Canada,Mississauga,
4414,Burkina Faso,Ouahigouya,
4415,India,Pune,
4416,Philippines,Quezon City,
4417,Jordan,Amman,
4418,United Kingdom of Great Britain and Northern Ireland,Weston-super-Mare,
4419,Indonesia,Yogyakarta,
4420,Tunisia,Tunis,
4421,United Kingdom of Great Britain and Northern Ireland,Northampton,
4422,Brazil,Porto Alegre (RS),
4423,Zimbabwe,,
4424,Nigeria,Lagos,
4425,Germany,,
4426,Albania,Tirana,
4427,Afghanistan,,
4428,United Kingdom of Great Britain and Northern Ireland,Glasgow,
4429,Cyprus,Nicosia,
4430,Nigeria,ASABA DELTA STATE,
4431,United Kingdom of Great Britain and Northern Ireland,London,
4432,Ukraine,киев,
4433,Pakistan,Karachi,
4434,France,Paris,
4435,Iraq,Baghdad,
4436,Mali,Fana,
4437,France,Barbaste,
4438,Italy,Rome,
4439,Algeria,Algiers,
4440,Uganda,Kampala,
4441,United States of America,Lenexa,
4442,Mexico,Mexico city,
4443,United Kingdom of Great Britain and Northern Ireland,"Tenterden, Kent",
4444,Guinea,Conakry,
4445,Pakistan,50700,
4446,Austria,Linz,
4447,Cote d'Ivoire,ABIDJAN,
4448,United States of America,Nyc,
4449,United States of America,Seattle,
4450,United States of America,Charlotte,
4451,United States of America,Rochester,
4452,United Republic of Tanzania,Zanzibar,
4453,United Kingdom of Great Britain and Northern Ireland,Amersham,
4454,Argentina,Mar del Plata,
4455,United Kingdom of Great Britain and Northern Ireland,London,
4456,Iran (Islamic Republic of),Tehran,
4457,United Kingdom of Great Britain and Northern Ireland,Kilmarnock,
4458,United Kingdom of Great Britain and Northern Ireland,London,
4459,Australia,Alice springs,
4460,United States of America,"Mansfield, Texas",
4461,Afghanistan,Kabul,
4462,United Kingdom of Great Britain and Northern Ireland,Kent,
4463,United Kingdom of Great Britain and Northern Ireland,London,
4464,Ireland,,
4465,Cote d'Ivoire,Katiola,
4466,India,PONDICHERRY,
4467,Greece,Athens,
4468,Canada,Orangeville,
4469,United States of America,Minneapolis,
4470,Nigeria,IJEBU-ODE,
4471,Colombia,Bogota,
4472,Denmark,Copenhagen,
4473,Niger,Niamey,
4474,Ukraine,Кривой Рог,
4475,Nigeria,"Dutse,Jigawa State.",
4476,India,,
4477,United States of America,Baltimore,
4478,Belgium,,
4479,Nigeria,yenagoa,
4480,United Republic of Tanzania,Dar es Salaam,
4481,United Kingdom of Great Britain and Northern Ireland,London,
4482,India,bangalore,
4483,Madagascar,antananarivo,
4484,Brazil,Brasília,
4485,Colombia,Bogota,
4486,United States of America,San Antonio Texas,
4487,Denmark,charlottenlun,
4488,United States of America,"Little Rock, AR",
4489,Afghanistan,Kabul,
4490,United States of America,"San Francisco, CA",
4491,Afghanistan,Kabul,
4492,Spain,Vic,
4493,Kenya,Nairobi,
4494,Nigeria,Lagos.,
4495,Argentina,Cordoba,
4496,Rwanda,Kigali/Rwanda,
4497,United Kingdom of Great Britain and Northern Ireland,London,
4498,United States of America,Detroit,
4499,Spain,Madrid,
4500,Kenya,Nairobi,
4501,Brazil,Rio de Janeiro,
4502,Spain,rubí,
4503,United States of America,Winnetka,
4504,United States of America,"Columbus, OH",
4505,Mexico,NY,
4506,Uganda,KAMPALA,
4507,Spain,Barcelona,
4508,Spain,Madrid,
4509,Kenya,VOI,
4510,Liberia,Monrovia,
4511,United States of America,smithfield,
4512,Mauritania,Nouakchott,
4513,Uganda,Kampala,
4514,United States of America,Seattle,
4515,Finland,Helsinki,
4516,Cameroon,Yaoundé,
4517,Philippines,Caloocan,
4518,Viet Nam,Hanoi,
4519,South Africa,Pretoria north,
4520,Kenya,Nairobi,
4521,Portugal,Parede/Lisbon,
4522,China,"Taiyuan,Shanxi province",
4523,Canada,Montreal,
4524,Spain,Barcelona,
4525,Spain,Valencia,
4526,United States of America,Bloomfield,
4527,China,Hefei,
4528,United Kingdom of Great Britain and Northern Ireland,Sully,
4529,United Kingdom of Great Britain and Northern Ireland,Hull,
4530,United States of America,Puerto Rico,
4531,Cameroon,Bamenda,
4532,Indonesia,Jakarta,
4533,Spain,Madrid,
4534,Spain,Madrid,
4535,India,,
4536,Nigeria,Makurdi Benue State,
4537,Sweden,Björköby,
4538,Spain,La Seu d'Urgell (Lérida) en Cataluña,
4539,India,Kolkata,
4540,United States of America,,
4541,United Republic of Tanzania,Mwanza,
4542,India,Lucknow,
4543,United Republic of Tanzania,Arusha,
4544,Nigeria,Abuja,
4545,Italy,Milan,
4546,Cote d'Ivoire,Abidjan,
4547,Pakistan,Multan,
4548,Yemen,Taiz,
4549,Kenya,Nairobi,
4550,Russian Federation,Moscow,
4551,France,Paris,
4552,Spain,Madrid,
4553,Iran (Islamic Republic of),Tehran,
4554,Ukraine,Донецк,
4555,Denmark,Tune,
4556,United States of America,"San Juan, PUERTO RICO (should appear as a country)",
4557,Kenya,Nairobi,
4558,United Kingdom of Great Britain and Northern Ireland,London,
4559,Pakistan,Karachi,
4560,India,Mumbai,
4561,Spain,Madrid,
4562,Panama,Panamá,
4563,Peru,Lima,
4564,United States of America,Bozeman/Montana,
4565,Lebanon,Beirut,
4566,United Kingdom of Great Britain and Northern Ireland,LONDON,
4567,Nigeria,Jos,
4568,Germany,Munich,
4569,Kenya,Nairobi,
4570,United States of America,"Medford, Oregon",
